gameID,condition,stim_id,study_phase,trial_type,trialNum,response,rt,rt_done1,rt_done2,collection_name_0,collection_name_1,level_name_0,level_name_1,layout_0,layout_1
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,1,0,25399,12683.0,24316.0,Sokogen-990602-Levels,Microban,17,41,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","['#######', '#     #', '#@$$$ ##', '#  #...#', '##    ##', ' ######']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,2,0,25113,12397.0,24147.0,Microban,Dimitri-and-Yorick,33,37,"['#######', '#. #  #', '#  $  #', '#. $#@#', '#  $  #', '#. #  #', '#######']","['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,3,1,23313,10846.0,22630.0,Microban,Microban,41,48,"['#######', '#     #', '#@$$$ ##', '#  #...#', '##    ##', ' ######']","['######', '#  @ #', '#  # ##', '# .#  ##', '# .$$$ #', '# .#   #', '####   #', '   #####']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,4,0,25347,12147.0,24664.0,Microban,Sokogen-990602-Levels,33,19,"['#######', '#. #  #', '#  $  #', '#. $#@#', '#  $  #', '#. #  #', '#######']","['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,5,0,24880,13645.0,24112.0,Sokogen-990602-Levels,Sokogen-990602-Levels,19,39,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","['######', '#    #', '# ## ##', '# . * ###', '## $ *  #', ' #  #  @#', ' ########']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,6,1,38062,14329.0,37545.0,Sokogen-990602-Levels,Sokogen-990602-Levels,6,39,"[' #####', '##   ###', '# .# $@#', '#  # # #', '# *  $.#', '#    ###', '######']","['######', '#    #', '# ## ##', '# . * ###', '## $ *  #', ' #  #  @#', ' ########']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,7,1,50899,31514.0,49864.0,Sokogen-990602-Levels,Dimitri-and-Yorick,17,37,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,pretest,sokoban-compare,8,0,25495,12563.0,24963.0,Sokogen-990602-Levels,Microban,6,48,"[' #####', '##   ###', '# .# $@#', '#  # # #', '# *  $.#', '#    ###', '######']","['######', '#  @ #', '#  # ##', '# .#  ##', '# .$$$ #', '# .#   #', '####   #', '   #####']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,1,0,34429,13044.0,25230.0,Sokogen-990602-Levels,Dimitri-and-Yorick,17,37,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,2,0,27832,15474.0,27158.0,Microban,Dimitri-and-Yorick,33,37,"['#######', '#. #  #', '#  $  #', '#. $#@#', '#  $  #', '#. #  #', '#######']","['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,3,1,27744,13034.0,24685.0,Sokogen-990602-Levels,Microban,19,41,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","['#######', '#     #', '#@$$$ ##', '#  #...#', '##    ##', ' ######']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,4,1,25127,12678.0,23329.0,Sokogen-990602-Levels,Microban,6,48,"[' #####', '##   ###', '# .# $@#', '#  # # #', '# *  $.#', '#    ###', '######']","['######', '#  @ #', '#  # ##', '# .#  ##', '# .$$$ #', '# .#   #', '####   #', '   #####']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,5,0,27101,10728.0,23721.0,Sokogen-990602-Levels,Microban,17,48,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","['######', '#  @ #', '#  # ##', '# .#  ##', '# .$$$ #', '# .#   #', '####   #', '   #####']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,6,1,23034,10704.0,22464.0,Microban,Sokogen-990602-Levels,41,6,"['#######', '#     #', '#@$$$ ##', '#  #...#', '##    ##', ' ######']","[' #####', '##   ###', '# .# $@#', '#  # # #', '# *  $.#', '#    ###', '######']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,7,1,22608,10907.0,21704.0,Microban,Sokogen-990602-Levels,33,39,"['#######', '#. #  #', '#  $  #', '#. $#@#', '#  $  #', '#. #  #', '#######']","['######', '#    #', '# ## ##', '# . * ###', '## $ *  #', ' #  #  @#', ' ########']"
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,6790956f96019241f9c4f664,pretest,sokoban-compare,8,0,24155,11188.0,21966.0,Sokogen-990602-Levels,Sokogen-990602-Levels,19,39,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","['######', '#    #', '# ## ##', '# . * ###', '## $ *  #', ' #  #  @#', ' ########']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,posttest,sokoban-compare,1,1,37056,11829.0,35998.0,Sokogen-990602-Levels,Sokogen-990602-Levels,41,40,"['######', '#    #', '# ## ##', '# .$@.###', '## $$   #', ' #  #.  #', ' ########']","['######', '#    ###', '# @#$  #', '# *.$  #', '# . #  #', '########']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,posttest,sokoban-compare,2,1,30796,16921.0,29779.0,Microban,Sokogen-990602-Levels,17,40,"['#####', '# @ #', '#...#', '#$$$##', '#    #', '#    #', '######']","['######', '#    ###', '# @#$  #', '# *.$  #', '# . #  #', '########']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,posttest,sokoban-compare,3,0,35209,14577.0,34299.0,Microcosmos,Sokogen-990602-Levels,28,46,"['     ####', '    ##  #', '   ## . #', '#### $  #', '# $ $.@##', '#  .  ##', '#######']","['#######', '##  ###', '## .$ #', '# $$  #', '# #. .#', '#@  ###', '#######']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,posttest,sokoban-compare,4,0,30433,11797.0,29339.0,Microban,Microban,26,43,"[' #####', ' # @ #', ' #   #', '###$ #', '# ...#', '# $$ #', '###  #', '  ####']","['     ####', '     # @#', '     #  #', '###### .#', '#   $  .#', '#  $$# .#', '#    ####', '###  #', '  ####']"
3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,6790956f96019241f9c4f665,posttest,sokoban-compare,5,1,27548,15085.0,26746.0,Sokogen-990602-Levels,Sokogen-990602-Levels,41,46,"['######', '#    #', '# ## ##', '# .$@.###', '## $$   #', ' #  #.  #', ' ########']","['#######', '##  ###', '## .$ #', '# $$  #', '# #. .#', '#@  ###', '#######']"
