gameID,reasons
2084-41e72d09-9c7e-41da-b926-d925b54501e0,Only 2 practice trials
9012-e52b00f0-0338-4309-91b6-d5f319405d5d,Only 2 practice trials
8016-518182ec-dbe4-43bf-ade8-32eff7824c8e,Only 2 practice trials
0618-8ddfc1c9-2d14-43d0-9caa-0f71a6c1b541,Only 2 practice trials
1392-16c3daf1-21b1-4354-8c8a-438812dbf082,Only 2 practice trials
2096-7b258598-c574-41c5-91e0-04017b003087,Only 1 practice trials
9000-3e06d826-8f80-4ea6-b332-f1b585078198,Failed comprehension
7662-770cd839-3f7e-4e6f-9566-24ef054ab8b2,Failed comprehension
0896-2fa0b747-ef31-40f0-a021-baca001ce8af,test ratings: only 7 trials
1045-aa63ae58-d937-4a55-9758-7b4499b6d35d,test ratings: only 6 trials
3597-0e5653b6-361d-47de-a030-16129665a943,test ratings: only 7 trials
4091-dd377ff2-473f-452d-9abe-a2447b87041b,test ratings: only 7 trials
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,test ratings: only 7 trials
5364-1dfb70c2-0310-4462-9da8-7ae9789fb59c,test ratings: only 7 trials
6411-0f9e2a95-a9ec-4d8a-81c0-5adc39265e8d,test ratings: only 7 trials
6697-fdc26f6a-4286-43fa-b251-451cc41ed290,test ratings: only 7 trials
7096-1cf9f68d-8231-4466-ae2f-3b68f74a0aad,test ratings: only 7 trials
7498-a2890963-df67-46a3-a905-c4181d22fbb4,test ratings: only 7 trials
7663-5ff08936-5712-4856-bbd5-01b708cf1ac2,test ratings: only 7 trials
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,test ratings: only 7 trials
8714-778533d7-9af8-4c52-815c-88db1f66c633,test ratings: only 7 trials
8833-29af3de5-1c4f-431a-bad5-b6a3e01b60ce,test ratings: only 7 trials
9330-ba53cf07-9a15-4ae5-931d-90e4b6d78589,test ratings: only 7 trials
9622-c35366f0-841c-4f09-b0ce-eba1e8c86c33,test ratings: only 7 trials
0896-2fa0b747-ef31-40f0-a021-baca001ce8af,test attempts: only 7 trials
4091-dd377ff2-473f-452d-9abe-a2447b87041b,test attempts: only 7 trials
7498-a2890963-df67-46a3-a905-c4181d22fbb4,test attempts: only 7 trials
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,test attempts: only 7 trials
8833-29af3de5-1c4f-431a-bad5-b6a3e01b60ce,test attempts: only 7 trials
9622-c35366f0-841c-4f09-b0ce-eba1e8c86c33,test attempts: only 7 trials
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,comparison: only 7 posttest trials
8581-d29f6912-5f73-4d6b-8fa4-7860da2650ab,comparison: only 7 posttest trials
2485-47f57e30-a80b-4dbd-a9e6-6b306a349c3f,comparison: only 7 pretest trials
7980-44188e71-07a9-4b10-9443-e403fb260878,comparison: only 7 pretest trials
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,comparison: only 7 pretest trials
8833-29af3de5-1c4f-431a-bad5-b6a3e01b60ce,comparison: only 7 pretest trials
