stim_id,gameID,condition,trialNum,rt,startTime,time_elapsed,steps,level_id,collection_id,layout,width,height,boxes,start_position.x,start_position.y,attempt_nsteps,attempt_nInputEvents
6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,1,10373,61526.699999999255,70233,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,2,18494,72205.19999999925,89032,"['l', 'u', 'l', 'D', 'l', 'u', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,14,16
6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,3,19762,91004.09999999963,109099,"['r', 'r', 'u', 'U', 'U', 'd', 'u', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,19,21
6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,1,81603,1224078.1000000238,1298195,"['r', 'R', 'l', 'l', 'u', 'r', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,7,7
6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,2,42326,1306002.7000000477,1340836,"['u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,15
6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,3,31767,1348642.6000000238,1372919,"['r', 'r', 'u', 'U', 'U', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,17,18
6790956f96019241f9c4f666,7209-f522767f-26aa-4a22-b50a-17f64304a083,difficult,1,17146,57839.299999952316,71757,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f666,7209-f522767f-26aa-4a22-b50a-17f64304a083,difficult,2,11670,75296.09999996424,83732,"['u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,10
6790956f96019241f9c4f667,6110-7c3fd621-28f8-4d65-b650-9c8fcc6290c8,difficult,1,12758,87739.5,96188,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f666,7209-f522767f-26aa-4a22-b50a-17f64304a083,difficult,3,21427,87272.39999997616,105473,"['u', 'r', 'r', 'U', 'U', 'd', 'd', 'u', 'u', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,21,21
