project,experiment,iteration,stim_id,gameID,condition,startInstructionTS,startPracticeTS,startPreTS,startMainTS,startPostTS,startSurveyTS,startComprehensionTS,endExperimentTS,participantExplanations,judgedDifficulty,participantEffort,sokobanFamiliarity,gamingFrequency,participantYears,participantGender,participantRace,participantEthnicity,inputDevice,technicalDifficultiesComments,participantRace-Comment,inputDevice-Comment
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,1737698930254.0,1737699002179.0,1737699269487.0,1737699303195.0,1737701085836.0,1737701114538.0,1737699028064.0,1737701114538.0,The amount of time and effort it took to figure out the task.,4,5,0,4,23,Female,['White'],Non-Hispanic,['Trackpad'],"When I pressed the reset or go back button, I would have to click back into the game screen.",,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,1737698273064.0,1737699389422.0,1737700449949.0,1737700540663.0,1737703286770.0,1737703319860.0,1737699435756.0,1737703319861.0,The complexity of solving the puzzle itself and ease of finding your way to the sand,4,5,1,1,52,Male,['White'],Non-Hispanic,['none'],The study was fun and interesting,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f666,7209-f522767f-26aa-4a22-b50a-17f64304a083,difficult,1737713128777.0,1737713203923.0,1737713520425.0,1737713664522.0,1737715507326.0,1737715537688.0,1737713230694.0,1737715537688.0,"I pretty much rated them on how long it took me to solve the puzzles, but they was also some times that after discovering the trick to completing it, it kinda looked simple to do. Also i took into account how many resets and undos i used on the puzzle.",3,5,1,4,29,Male,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f66c,4733-c6a6e973-18d8-4b07-9e81-737cf6b3fe7b,difficult,1737713248200.0,1737713303799.0,1737713603712.0,1737713665124.0,1737715636979.0,1737715663200.0,1737713330582.0,1737715663201.0,The biggest thing was if I actually managed to finish the puzzle in 5 minutes or not. A lot of them I tried what felt like every combination of moves and the puzzle felt almost impossible to solve which is why it was scored much higher. Anything low was because I managed to solve it with ease/quickly.,4,5,2,2,24,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f667,6110-7c3fd621-28f8-4d65-b650-9c8fcc6290c8,difficult,1737713145146.0,1737713227594.0,1737713475437.0,1737713538379.0,1737715831399.0,1737715860431.0,1737713254639.0,1737715860432.0,"How easy it was to solve, how much effort the solution was",3,5,0,2,39,Female,['White'],Non-Hispanic,['none'],none,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f668,0047-f873669a-075a-4f22-80d2-c33cd8217451,difficult,1737713173179.0,1737713307640.0,1737713582523.0,1737713620484.0,1737715996874.0,1737716027845.0,1737713341619.0,1737716027846.0,The only factor was whether I could complete it or not. If I was close to the solution when the time ran out or if I thought it was possible with a longer time or just impossible even with an eternity to try. Most were VERY difficult. Well done,5,5,0,2,53,Female,['White'],Non-Hispanic,['none'],No issues. This study wins a prize for being so cute but also so hard,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f669,2839-a3cd9207-4f4c-4db0-a0db-5d16fa3e57ac,difficult,1737713166383.0,1737713256009.0,1737713545573.0,1737713578460.0,1737716210180.0,1737716235250.0,1737713356414.0,1737716235250.0,"whether I was able to complete the puzzle, if I could figure out the steps needed",5,5,0,1,26,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f66b,9390-86c56e18-f87b-46d4-9a5e-f44e363d8f6c,difficult,1737713242811.0,1737713415082.0,1737713898264.0,1737713946352.0,1737716518862.0,1737716569207.0,1737713516329.0,1737716569208.0,understanding,4,5,0,1,26,Female,['Black/African American'],Non-Hispanic,['none'],none,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f66a,4874-8b3ae495-d2ac-48be-9f34-6a6c65fb844f,difficult,1737713350365.0,1737713563855.0,1737713973212.0,1737714026562.0,1737716487541.0,1737716537378.0,1737713597074.0,1737716537379.0,"An average of 7 for me, it was difficult. I'm really ashamed of myself for barely solving half and i know fully well someone somewhere solved the whole thing. factors that affected my ratings, well my performance.",4,4,2,4,24,Male,['Black/African American'],Non-Hispanic,['none'],"This was a great study and an eye opener, i really need to work on my mind and mental well being.",,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f66e,8548-f432b403-c1b9-4c23-b610-38229bfe78ab,difficult,1737713524552.0,1737713999294.0,1737714901043.0,1737715004893.0,1737718101961.0,1737718154943.0,1737714035140.0,1737718154944.0,how easy it is to solve the puzzle,5,5,1,2,57,Female,['Black/African American'],Non-Hispanic,['none'],the puzzle was extremely  hard ,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f677,8941-a75295a1-0952-400a-98d3-689ad17d5fd6,enjoyable,1737737625187.0,1737737685415.0,1737737891255.0,1737737918782.0,1737739661832.0,1737739687302.0,1737737708524.0,1737739687302.0,7 the level of difficulty,3,5,1,0,38,Female,['White'],Non-Hispanic,['none'],i had no issues,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f671,3398-8fd61e31-c1ca-4273-94c4-fcce5e1b8ca2,difficult,1737737612154.0,1737737752187.0,1737738029269.0,1737738068367.0,1737739555054.0,1737739586377.0,1737737777270.0,1737739586378.0,Whether I could complete the puzzle and if so how long it took me. Also factored in how much luck I felt played a part in me solving the puzzle.,3,5,0,2,26,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f680,5808-784eccb3-6c57-47b0-b644-b30e7354513c,enjoyable,1737737672797.0,1737737774103.0,1737738054018.0,1737738116582.0,1737740135435.0,1737740173723.0,1737737806537.0,1737740173724.0,The main factor was if I thought it was beatable.  I don't enjoy doing unsolvable puzzles.,2,5,1,3,42,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f689,9929-112c5ca1-1f34-42cb-b380-2ddd456ce48e,enjoyable,1737737722229.0,1737737774404.0,1737738020903.0,1737738045764.0,1737740160330.0,1737740184778.0,1737737787402.0,1737740184778.0,10. The more difficulty i had the more I enjoyed them.,3,5,0,4,21,Male,['Prefer not to answer'],Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f675,0808-1234c64f-ccf4-46a1-bc6f-6827478f2d8e,difficult,1737737984912.0,1737738086869.0,1737738367444.0,1737738401401.0,1737740718158.0,1737740751620.0,1737738130745.0,1737740751622.0,"I found a lot of the puzzles really really difficult, I tried really hard to complete them but most of them I just couldnt figure out.",5,5,0,2,23,Female,['White'],Non-Hispanic,['Trackpad'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f679,5158-d99f7eab-0aa9-4d14-be5b-5d7b30250881,enjoyable,1737737647911.0,1737737784845.0,1737738034659.0,1737738063638.0,1737740415886.0,1737740452376.0,1737737798503.0,1737740452377.0,the way it engages my brain activity,2,5,0,2,50,Female,"['Black/African American', 'other']",Non-Hispanic,['none'],I really enjoyed the game and would play it again if I come across it as it engages brain activity very well.,Black/british,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f66f,9875-77c31433-07e1-4aef-a4e5-043f15ecb034,difficult,1737737590840.0,1737737705278.0,1737738035190.0,1737738071167.0,1737740548448.0,1737740604834.0,1737737753994.0,1737740604836.0,The size of the board and how many corners and one way exits,4,5,0,2,41,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f674,6186-32e70ee4-7ac6-4d03-856c-c7e9ef8aba13,difficult,1737737624176.0,1737737729747.0,1737738073879.0,1737738113281.0,1737740467788.0,1737740504348.0,1737737759875.0,1737740504349.0,"If I couldn't complete it or it appeared impossible (even though it probably wasn't) it would get a 9 or 10. The ability to move the gems around was a factor, sometimes I could see no way to arrange them correctly.",4,5,0,4,46,Male,['White'],Non-Hispanic,['none'],"The game seemed to use a lot of resources, but it didn't effect the experiment.",,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f676,0209-82f8d7b1-7d8c-421b-becd-e2fc43eb28b8,difficult,1737737798094.0,1737737883348.0,1737738227962.0,1737738282721.0,1737740948263.0,1737740985297.0,1737737956542.0,1737740985298.0,whether or not i could complete the puzzles and how long it took,4,4,1,1,20,Male,['White'],Non-Hispanic,['none'],,,
