project,experiment,iteration,stim_id,gameID,condition,study_phase,trialNum,stimuli_set,author_name,collection_name,level_name,width,height,layout,boxes,start_position.x,start_position.y,select_response,select_rt,rate_response,rate_rt,solveDuration,solved,attempt_nsteps,attempt_nInputEvents,boxesSolved
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,1,A,david-w-skinner,Microban,67,7.0,8.0,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 3, 'y': 5, 'state': '$'}]",1.0,3.0,0.0,9685.400000000373,9.0,4805.0,294.0,1,273,343,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,2,A,jacques-duthen,Sokogen-990602-Levels,13,8.0,6.0,"['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']","[{'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '*'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,1.0,1646.699999999255,4.0,2314.0,114.0,1,132,144,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,3,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,1646.7999999988824,2.0,1093.0,49.0,1,45,51,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,4,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,3813.2000000011176,10.0,1309.0,,0,178,223,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,5,A,david-w-skinner,Microban,104,9.0,9.0,"['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']","[{'x': 5, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 5, 'y': 3, 'state': '$'}]",7.0,3.0,4.0,1964.0,5.0,2274.0,237.0,1,229,288,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,6,A,jacques-duthen,Sokogen-990602-Levels,38,8.0,6.0,"['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']","[{'x': 1, 'y': 2, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 2, 'y': 3, 'state': '$'}]",1.0,3.0,5.0,1641.199999999255,8.0,1297.0,,0,164,267,1
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,7,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,1313.5,2.0,2466.0,106.0,1,112,160,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,test,8,A,jacques-duthen,Sokogen-990602-Levels,35,8.0,6.0,"['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']","[{'x': 3, 'y': 1, 'state': '*'}, {'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,7.0,1946.300000000745,2.0,1182.0,82.0,1,79,106,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,1,A,jacques-duthen,Sokogen-990602-Levels,13,8.0,6.0,"['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']","[{'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '*'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,1.0,14809.199999928474,8.0,3310.0,230.0,1,120,132,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,2,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,4212.700000047684,10.0,2402.0,,0,64,116,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,3,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,8154.700000047684,10.0,2587.0,,0,22,66,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,4,A,david-w-skinner,Microban,67,7.0,8.0,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 3, 'y': 5, 'state': '$'}]",1.0,3.0,0.0,13898.200000047684,10.0,2101.0,272.0,1,86,119,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,5,A,david-w-skinner,Microban,104,9.0,9.0,"['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']","[{'x': 5, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 5, 'y': 3, 'state': '$'}]",7.0,3.0,4.0,15372.799999952316,10.0,2129.0,,0,94,123,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,6,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,5122.599999904633,,302226.0,,0,65,109,0
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,7,A,jacques-duthen,Sokogen-990602-Levels,38,8.0,6.0,"['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']","[{'x': 1, 'y': 2, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 2, 'y': 3, 'state': '$'}]",1.0,3.0,5.0,2991.600000023842,10.0,2003.0,,0,42,48,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,test,8,A,jacques-duthen,Sokogen-990602-Levels,35,8.0,6.0,"['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']","[{'x': 3, 'y': 1, 'state': '*'}, {'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,7.0,2038.6000000238419,10.0,2052.0,,0,105,121,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f666,7209-f522767f-26aa-4a22-b50a-17f64304a083,difficult,test,1,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,17967.100000023842,7.0,3723.0,137.0,1,111,126,3
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f667,6110-7c3fd621-28f8-4d65-b650-9c8fcc6290c8,difficult,test,1,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,28565.100000023842,10.0,2604.0,,0,107,132,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f669,2839-a3cd9207-4f4c-4db0-a0db-5d16fa3e57ac,difficult,test,1,A,david-w-skinner,Microban,67,7.0,8.0,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 3, 'y': 5, 'state': '$'}]",1.0,3.0,0.0,3990.0,9.0,2334.0,,0,145,189,2
