collection_name,level_name,level_width,level_height,layout,num_boxes,sokobanonline__likes,sokobanonline__dislikes,sokobanonline__num_played,sokobanonline__num_solved,sokobanonline__uniquely_solved,sokobanonline__shortest_solution,sokobanonline__top_solutions,level_area,sokobanonline__shortest,sokobanonline__solve_rate,sokobanonline__top_solutions_flattened,sokobanonline__reaction_rate,sokobanonline__likes_rate,sokobanonline__likes_perc,sokobanonline__dislikes_rate,sokobanonline__dislikes_perc,enjoyment_cat,difficulty_cat,shortestPath_cat
Sokogen-990602-Levels,4,7,7,"[' #####', '##@  ##', '#  #  #', '# $*$ #', '#  .  #', '## . ##', ' #####']",3,6,0,226,191,109,25,"[{'ranked': 1, 'steps': 25, 'num_players': 54}, {'ranked': 2, 'steps': 27, 'num_players': 21}, {'ranked': 3, 'steps': 28, 'num_players': 17}, {'ranked': 4, 'steps': 29, 'num_players': 12}, {'ranked': 5, 'steps': 30, 'num_players': 16}, {'ranked': 6, 'steps': 31, 'num_players': 6}, {'ranked': 7, 'steps': 32, 'num_players': 4}, {'ranked': 8, 'steps': 33, 'num_players': 2}, {'ranked': 9, 'steps': 34, 'num_players': 3}, {'ranked': 10, 'steps': 36, 'num_players': 1}]",49,25,0.8451327433628318,"[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 31, 31, 31, 31, 31, 31, 32, 32, 32, 32, 33, 33, 34, 34, 34, 36]",0.02654867256637168,0.02654867256637168,1.0,0.0,0.0,low,easy,short
Sokogen-990602-Levels,5,8,6,"['######', '#    ###', '#   .. #', '# $$$@ #', '#  # . #', '########']",3,7,0,212,165,102,37,"[{'ranked': 1, 'steps': 37, 'num_players': 38}, {'ranked': 2, 'steps': 39, 'num_players': 45}, {'ranked': 3, 'steps': 41, 'num_players': 27}, {'ranked': 4, 'steps': 43, 'num_players': 3}, {'ranked': 5, 'steps': 45, 'num_players': 7}, {'ranked': 6, 'steps': 47, 'num_players': 3}, {'ranked': 7, 'steps': 49, 'num_players': 4}, {'ranked': 8, 'steps': 51, 'num_players': 1}, {'ranked': 9, 'steps': 53, 'num_players': 5}, {'ranked': 10, 'steps': 55, 'num_players': 1}]",48,37,0.7783018867924528,"[37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 43, 43, 43, 45, 45, 45, 45, 45, 45, 45, 47, 47, 47, 49, 49, 49, 49, 51, 53, 53, 53, 53, 53, 55]",0.0330188679245283,0.0330188679245283,1.0,0.0,0.0,high,easy,short
Sokogen-990602-Levels,6,8,7,"[' #####', '##   ###', '# .# $@#', '#  # # #', '# *  $.#', '#    ###', '######']",3,6,0,180,126,95,55,"[{'ranked': 1, 'steps': 55, 'num_players': 49}, {'ranked': 2, 'steps': 57, 'num_players': 4}, {'ranked': 3, 'steps': 61, 'num_players': 2}, {'ranked': 4, 'steps': 63, 'num_players': 11}, {'ranked': 5, 'steps': 65, 'num_players': 19}, {'ranked': 6, 'steps': 67, 'num_players': 3}, {'ranked': 7, 'steps': 69, 'num_players': 4}, {'ranked': 8, 'steps': 71, 'num_players': 5}, {'ranked': 9, 'steps': 73, 'num_players': 2}, {'ranked': 10, 'steps': 75, 'num_players': 1}]",56,55,0.7,"[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 57, 57, 57, 57, 61, 61, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 67, 67, 67, 69, 69, 69, 69, 71, 71, 71, 71, 71, 73, 73, 75]",0.03333333333333333,0.03333333333333333,1.0,0.0,0.0,high,hard,long
Sokogen-990602-Levels,7,7,6,"['#######', '#@*  ##', '# $#  #', '# $ . #', '#.   ##', '#######']",3,4,0,165,125,97,32,"[{'ranked': 1, 'steps': 32, 'num_players': 56}, {'ranked': 2, 'steps': 34, 'num_players': 49}, {'ranked': 3, 'steps': 36, 'num_players': 1}, {'ranked': 4, 'steps': 38, 'num_players': 1}, {'ranked': 5, 'steps': 42, 'num_players': 2}, {'ranked': 6, 'steps': 44, 'num_players': 1}, {'ranked': 7, 'steps': 46, 'num_players': 1}]",42,32,0.7575757575757576,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 36, 38, 42, 42, 44, 46]",0.024242424242424242,0.024242424242424242,1.0,0.0,0.0,low,easy,short
Sokogen-990602-Levels,8,8,6,"['########', '##    ##', '# ..   #', '# # $$$#', '#   #@.#', '########']",3,6,0,146,115,94,45,"[{'ranked': 1, 'steps': 45, 'num_players': 52}, {'ranked': 2, 'steps': 47, 'num_players': 2}, {'ranked': 3, 'steps': 51, 'num_players': 10}, {'ranked': 4, 'steps': 55, 'num_players': 1}, {'ranked': 5, 'steps': 57, 'num_players': 19}, {'ranked': 6, 'steps': 59, 'num_players': 2}, {'ranked': 7, 'steps': 61, 'num_players': 1}, {'ranked': 8, 'steps': 63, 'num_players': 7}, {'ranked': 9, 'steps': 65, 'num_players': 1}, {'ranked': 10, 'steps': 69, 'num_players': 1}]",48,45,0.7876712328767124,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 47, 47, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 55, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 59, 59, 61, 63, 63, 63, 63, 63, 63, 63, 65, 69]",0.0410958904109589,0.0410958904109589,1.0,0.0,0.0,high,easy,short
Sokogen-990602-Levels,9,7,6,"['#######', '#.@* ##', '#$  $ #', '#   # #', '#  .  #', '#######']",3,7,0,122,102,98,26,"[{'ranked': 1, 'steps': 26, 'num_players': 91}, {'ranked': 2, 'steps': 27, 'num_players': 3}, {'ranked': 3, 'steps': 28, 'num_players': 2}, {'ranked': 4, 'steps': 30, 'num_players': 1}, {'ranked': 5, 'steps': 43, 'num_players': 1}, {'ranked': 6, 'steps': 44, 'num_players': 1}, {'ranked': 7, 'steps': 45, 'num_players': 1}]",42,26,0.8360655737704918,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 27, 27, 27, 28, 28, 30, 43, 44, 45]",0.05737704918032787,0.05737704918032787,1.0,0.0,0.0,high,easy,short
Sokogen-990602-Levels,10,7,7,"['#######', '#@ ..##', '# #$ ##', '# #   #', '#  $# #', '#  *  #', '#######']",3,7,0,153,129,93,33,"[{'ranked': 1, 'steps': 33, 'num_players': 58}, {'ranked': 2, 'steps': 35, 'num_players': 14}, {'ranked': 3, 'steps': 37, 'num_players': 9}, {'ranked': 4, 'steps': 39, 'num_players': 6}, {'ranked': 5, 'steps': 41, 'num_players': 7}, {'ranked': 6, 'steps': 43, 'num_players': 4}, {'ranked': 7, 'steps': 45, 'num_players': 3}, {'ranked': 8, 'steps': 47, 'num_players': 3}, {'ranked': 9, 'steps': 49, 'num_players': 4}, {'ranked': 10, 'steps': 51, 'num_players': 3}]",49,33,0.8431372549019608,"[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 37, 37, 37, 37, 37, 37, 37, 37, 37, 39, 39, 39, 39, 39, 39, 41, 41, 41, 41, 41, 41, 41, 43, 43, 43, 43, 45, 45, 45, 47, 47, 47, 49, 49, 49, 49, 51, 51, 51]",0.0457516339869281,0.0457516339869281,1.0,0.0,0.0,high,easy,short
Sokogen-990602-Levels,11,7,7,"['#####', '#   #', '# # ###', '#*.$  #', '#  #$ #', '#@   .#', '#######']",3,5,0,159,122,90,28,"[{'ranked': 1, 'steps': 28, 'num_players': 51}, {'ranked': 2, 'steps': 30, 'num_players': 5}, {'ranked': 3, 'steps': 31, 'num_players': 11}, {'ranked': 4, 'steps': 32, 'num_players': 3}, {'ranked': 5, 'steps': 33, 'num_players': 5}, {'ranked': 6, 'steps': 34, 'num_players': 2}, {'ranked': 7, 'steps': 35, 'num_players': 3}, {'ranked': 8, 'steps': 36, 'num_players': 1}, {'ranked': 9, 'steps': 37, 'num_players': 1}, {'ranked': 10, 'steps': 38, 'num_players': 2}]",49,28,0.7672955974842768,"[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 30, 30, 30, 30, 30, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 32, 32, 32, 33, 33, 33, 33, 33, 34, 34, 35, 35, 35, 36, 37, 38, 38]",0.031446540880503145,0.031446540880503145,1.0,0.0,0.0,high,easy,short
Sokogen-990602-Levels,12,7,6,"['#######', '###  @#', '#. *# #', '#   $ #', '# $. ##', '#######']",3,6,0,111,96,91,34,"[{'ranked': 1, 'steps': 34, 'num_players': 78}, {'ranked': 2, 'steps': 36, 'num_players': 3}, {'ranked': 3, 'steps': 38, 'num_players': 2}, {'ranked': 4, 'steps': 44, 'num_players': 1}, {'ranked': 5, 'steps': 46, 'num_players': 2}, {'ranked': 6, 'steps': 50, 'num_players': 3}, {'ranked': 7, 'steps': 52, 'num_players': 1}, {'ranked': 8, 'steps': 56, 'num_players': 1}, {'ranked': 9, 'steps': 58, 'num_players': 1}]",42,34,0.8648648648648649,"[34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 36, 36, 36, 38, 38, 44, 46, 46, 50, 50, 50, 52, 56, 58]",0.05405405405405406,0.05405405405405406,1.0,0.0,0.0,high,easy,short
Sokogen-990602-Levels,13,8,6,"['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']",3,7,0,174,121,92,38,"[{'ranked': 1, 'steps': 38, 'num_players': 54}, {'ranked': 2, 'steps': 44, 'num_players': 1}, {'ranked': 3, 'steps': 46, 'num_players': 3}, {'ranked': 4, 'steps': 50, 'num_players': 9}, {'ranked': 5, 'steps': 52, 'num_players': 4}, {'ranked': 6, 'steps': 54, 'num_players': 16}, {'ranked': 7, 'steps': 56, 'num_players': 9}, {'ranked': 8, 'steps': 58, 'num_players': 5}, {'ranked': 9, 'steps': 60, 'num_players': 3}, {'ranked': 10, 'steps': 70, 'num_players': 2}]",48,38,0.6954022988505747,"[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 44, 46, 46, 46, 50, 50, 50, 50, 50, 50, 50, 50, 50, 52, 52, 52, 52, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 56, 56, 56, 56, 56, 56, 56, 56, 56, 58, 58, 58, 58, 58, 60, 60, 60, 70, 70]",0.040229885057471264,0.040229885057471264,1.0,0.0,0.0,high,hard,short
