collection_name,level_name,level_width,level_height,layout,num_boxes,sokobanonline__likes,sokobanonline__dislikes,sokobanonline__num_played,sokobanonline__num_solved,sokobanonline__uniquely_solved,sokobanonline__shortest_solution,sokobanonline__top_solutions
Sokogen-990602-Levels,1,6,6,"['#####', '#@  ##', '#.$* #', '#  # #', '#    #', '######']",2,7,0,187,157,115,34,"[{'ranked': 1, 'steps': 34, 'num_players': 74}, {'ranked': 2, 'steps': 36, 'num_players': 3}, {'ranked': 3, 'steps': 38, 'num_players': 60}, {'ranked': 4, 'steps': 40, 'num_players': 5}, {'ranked': 5, 'steps': 44, 'num_players': 1}, {'ranked': 6, 'steps': 50, 'num_players': 1}, {'ranked': 7, 'steps': 54, 'num_players': 1}]"
Sokogen-990602-Levels,2,7,6,"['######', '#@   ##', '# $$  #', '# #. .#', '#     #', '#######']",2,6,0,177,163,115,23,"[{'ranked': 1, 'steps': 23, 'num_players': 83}, {'ranked': 2, 'steps': 25, 'num_players': 51}, {'ranked': 3, 'steps': 27, 'num_players': 2}, {'ranked': 4, 'steps': 31, 'num_players': 1}, {'ranked': 5, 'steps': 37, 'num_players': 5}, {'ranked': 6, 'steps': 39, 'num_players': 3}, {'ranked': 7, 'steps': 41, 'num_players': 3}, {'ranked': 8, 'steps': 43, 'num_players': 1}, {'ranked': 9, 'steps': 45, 'num_players': 1}]"
Sokogen-990602-Levels,3,7,7,"['  ####', '###  #', '#@ .$##', '#   $ #', '# #.  #', '#     #', '#######']",2,7,0,179,155,111,31,"[{'ranked': 1, 'steps': 31, 'num_players': 76}, {'ranked': 2, 'steps': 33, 'num_players': 30}, {'ranked': 3, 'steps': 35, 'num_players': 13}, {'ranked': 4, 'steps': 37, 'num_players': 4}, {'ranked': 5, 'steps': 39, 'num_players': 3}, {'ranked': 6, 'steps': 41, 'num_players': 3}, {'ranked': 7, 'steps': 43, 'num_players': 2}, {'ranked': 8, 'steps': 45, 'num_players': 2}, {'ranked': 9, 'steps': 47, 'num_players': 3}, {'ranked': 10, 'steps': 49, 'num_players': 3}]"
Sokogen-990602-Levels,4,7,7,"[' #####', '##@  ##', '#  #  #', '# $*$ #', '#  .  #', '## . ##', ' #####']",3,6,0,226,191,109,25,"[{'ranked': 1, 'steps': 25, 'num_players': 54}, {'ranked': 2, 'steps': 27, 'num_players': 21}, {'ranked': 3, 'steps': 28, 'num_players': 17}, {'ranked': 4, 'steps': 29, 'num_players': 12}, {'ranked': 5, 'steps': 30, 'num_players': 16}, {'ranked': 6, 'steps': 31, 'num_players': 6}, {'ranked': 7, 'steps': 32, 'num_players': 4}, {'ranked': 8, 'steps': 33, 'num_players': 2}, {'ranked': 9, 'steps': 34, 'num_players': 3}, {'ranked': 10, 'steps': 36, 'num_players': 1}]"
Sokogen-990602-Levels,5,8,6,"['######', '#    ###', '#   .. #', '# $$$@ #', '#  # . #', '########']",3,7,0,212,165,102,37,"[{'ranked': 1, 'steps': 37, 'num_players': 38}, {'ranked': 2, 'steps': 39, 'num_players': 45}, {'ranked': 3, 'steps': 41, 'num_players': 27}, {'ranked': 4, 'steps': 43, 'num_players': 3}, {'ranked': 5, 'steps': 45, 'num_players': 7}, {'ranked': 6, 'steps': 47, 'num_players': 3}, {'ranked': 7, 'steps': 49, 'num_players': 4}, {'ranked': 8, 'steps': 51, 'num_players': 1}, {'ranked': 9, 'steps': 53, 'num_players': 5}, {'ranked': 10, 'steps': 55, 'num_players': 1}]"
Sokogen-990602-Levels,6,8,7,"[' #####', '##   ###', '# .# $@#', '#  # # #', '# *  $.#', '#    ###', '######']",3,6,0,180,126,95,55,"[{'ranked': 1, 'steps': 55, 'num_players': 49}, {'ranked': 2, 'steps': 57, 'num_players': 4}, {'ranked': 3, 'steps': 61, 'num_players': 2}, {'ranked': 4, 'steps': 63, 'num_players': 11}, {'ranked': 5, 'steps': 65, 'num_players': 19}, {'ranked': 6, 'steps': 67, 'num_players': 3}, {'ranked': 7, 'steps': 69, 'num_players': 4}, {'ranked': 8, 'steps': 71, 'num_players': 5}, {'ranked': 9, 'steps': 73, 'num_players': 2}, {'ranked': 10, 'steps': 75, 'num_players': 1}]"
Sokogen-990602-Levels,7,7,6,"['#######', '#@*  ##', '# $#  #', '# $ . #', '#.   ##', '#######']",3,4,0,165,125,97,32,"[{'ranked': 1, 'steps': 32, 'num_players': 56}, {'ranked': 2, 'steps': 34, 'num_players': 49}, {'ranked': 3, 'steps': 36, 'num_players': 1}, {'ranked': 4, 'steps': 38, 'num_players': 1}, {'ranked': 5, 'steps': 42, 'num_players': 2}, {'ranked': 6, 'steps': 44, 'num_players': 1}, {'ranked': 7, 'steps': 46, 'num_players': 1}]"
Sokogen-990602-Levels,8,8,6,"['########', '##    ##', '# ..   #', '# # $$$#', '#   #@.#', '########']",3,6,0,146,115,94,45,"[{'ranked': 1, 'steps': 45, 'num_players': 52}, {'ranked': 2, 'steps': 47, 'num_players': 2}, {'ranked': 3, 'steps': 51, 'num_players': 10}, {'ranked': 4, 'steps': 55, 'num_players': 1}, {'ranked': 5, 'steps': 57, 'num_players': 19}, {'ranked': 6, 'steps': 59, 'num_players': 2}, {'ranked': 7, 'steps': 61, 'num_players': 1}, {'ranked': 8, 'steps': 63, 'num_players': 7}, {'ranked': 9, 'steps': 65, 'num_players': 1}, {'ranked': 10, 'steps': 69, 'num_players': 1}]"
Sokogen-990602-Levels,9,7,6,"['#######', '#.@* ##', '#$  $ #', '#   # #', '#  .  #', '#######']",3,7,0,122,102,98,26,"[{'ranked': 1, 'steps': 26, 'num_players': 91}, {'ranked': 2, 'steps': 27, 'num_players': 3}, {'ranked': 3, 'steps': 28, 'num_players': 2}, {'ranked': 4, 'steps': 30, 'num_players': 1}, {'ranked': 5, 'steps': 43, 'num_players': 1}, {'ranked': 6, 'steps': 44, 'num_players': 1}, {'ranked': 7, 'steps': 45, 'num_players': 1}]"
Sokogen-990602-Levels,10,7,7,"['#######', '#@ ..##', '# #$ ##', '# #   #', '#  $# #', '#  *  #', '#######']",3,7,0,153,129,93,33,"[{'ranked': 1, 'steps': 33, 'num_players': 58}, {'ranked': 2, 'steps': 35, 'num_players': 14}, {'ranked': 3, 'steps': 37, 'num_players': 9}, {'ranked': 4, 'steps': 39, 'num_players': 6}, {'ranked': 5, 'steps': 41, 'num_players': 7}, {'ranked': 6, 'steps': 43, 'num_players': 4}, {'ranked': 7, 'steps': 45, 'num_players': 3}, {'ranked': 8, 'steps': 47, 'num_players': 3}, {'ranked': 9, 'steps': 49, 'num_players': 4}, {'ranked': 10, 'steps': 51, 'num_players': 3}]"
